file,course_number,course_name,instructor,year,term,num_respondents,The instructor's teaching effectiveness is:,The intellectual challenge of this course is:,The teaching assistant for this course is:,Feedback on my work for this course is useful:,"Compared to other Hopkins courses at this level, the workload for this course is:"
EN_601_826_01_FA17 Selected Topics in Programming Languages Smith_ Scott 2017 Fall Computer Science 7 of 7  responded _100_00__ Download PDF.pdf,EN.601.826,Selected Topics in Programming Languages,Scott Smith,2017,Fall,7,"[(1, 0), (2, 0), (3, 0), (4, 1), (5, 5), (0, 1)]","[(1, 0), (2, 0), (3, 0), (4, 1), (5, 5), (0, 1)]","[(1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (0, 7)]","[(1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (0, 7)]","[(1, 2), (2, 0), (3, 0), (4, 0), (5, 0), (0, 5)]"
EN_601_485_01_FA17 Probabilistic Models of the Visual Cortex 2017 Fall ASEN 12 of 13  responded _92_31__ Download PDF.pdf,EN.601.485,Probabilistic Models of the Visual Cortex,,2017,Fall,12,"[(1, 1), (2, 2), (3, 1), (4, 4), (5, 4), (0, 0)]","[(1, 0), (2, 2), (3, 0), (4, 3), (5, 7), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 4), (5, 7), (0, 1)]","[(1, 1), (2, 0), (3, 1), (4, 6), (5, 3), (0, 0)]","[(1, 1), (2, 6), (3, 3), (4, 1), (5, 0), (0, 0)]"
EN_601_675_01_FA17 Machine Learning Dredze_ Mark 2017 Fall Computer Science 36 of 38  responded _94_74__ Download PDF.pdf,EN.601.675,Machine Learning,Mark Dredze,2017,Fall,36,"[(1, 0), (2, 3), (3, 5), (4, 8), (5, 20), (0, 0)]","[(1, 0), (2, 0), (3, 5), (4, 9), (5, 21), (0, 0)]","[(1, 1), (2, 1), (3, 3), (4, 9), (5, 21), (0, 1)]","[(1, 0), (2, 0), (3, 6), (4, 12), (5, 17), (0, 1)]","[(1, 0), (2, 0), (3, 14), (4, 15), (5, 6), (0, 1)]"
EN_601_663_01_FA17 Algorithms for Sensor-Based Robotics 2017 Fall ASEN 35 of 36  responded _97_22__ Download PDF.pdf,EN.601.663,Algorithms for Sensor-Based Robotics,,2017,Fall,35,"[(1, 0), (2, 1), (3, 5), (4, 9), (5, 19), (0, 0)]","[(1, 0), (2, 0), (3, 1), (4, 19), (5, 15), (0, 0)]","[(1, 1), (2, 2), (3, 5), (4, 11), (5, 7), (0, 8)]","[(1, 0), (2, 0), (3, 3), (4, 19), (5, 13), (0, 0)]","[(1, 0), (2, 4), (3, 25), (4, 4), (5, 1), (0, 1)]"
EN_601_723_01_FA17 Advanced Topics in Data-Intensive Computing 2017 Fall ASEN 13 of 15  responded _86_67__ Download PDF.pdf,EN.601.723,Advanced Topics in Data-Intensive Computing,,2017,Fall,13,"[(1, 0), (2, 0), (3, 1), (4, 7), (5, 5), (0, 0)]","[(1, 0), (2, 0), (3, 1), (4, 4), (5, 8), (0, 0)]","[(1, 0), (2, 0), (3, 2), (4, 1), (5, 3), (0, 6)]","[(1, 0), (2, 0), (3, 0), (4, 6), (5, 6), (0, 0)]","[(1, 1), (2, 3), (3, 7), (4, 0), (5, 1), (0, 0)]"
EN_601_677_01_FA17 Causal Inference 2017 Fall ASEN 14 of 19  responded _73_68__ Download PDF.pdf,EN.601.677,Causal Inference,,2017,Fall,14,"[(1, 0), (2, 0), (3, 5), (4, 6), (5, 3), (0, 0)]","[(1, 0), (2, 0), (3, 3), (4, 5), (5, 6), (0, 0)]","[(1, 0), (2, 1), (3, 3), (4, 2), (5, 8), (0, 0)]","[(1, 1), (2, 0), (3, 2), (4, 5), (5, 5), (0, 0)]","[(1, 0), (2, 1), (3, 6), (4, 6), (5, 0), (0, 0)]"
EN_601_723_01_FA17 Advanced Topics in Data-Intensive Computing Burns_ Randal 2017 Fall Computer Science 13 of 15  responded _86_67__ Download PDF.pdf,EN.601.723,Advanced Topics in Data-Intensive Computing,Randal Burns,2017,Fall,13,"[(1, 0), (2, 0), (3, 1), (4, 7), (5, 5), (0, 0)]","[(1, 0), (2, 0), (3, 1), (4, 4), (5, 8), (0, 0)]","[(1, 0), (2, 0), (3, 2), (4, 1), (5, 3), (0, 6)]","[(1, 0), (2, 0), (3, 0), (4, 6), (5, 6), (0, 0)]","[(1, 1), (2, 3), (3, 7), (4, 0), (5, 1), (0, 0)]"
EN_601_668_01_FA17 Machine Translation Koehn_ Philipp 2017 Fall Computer Science 37 of 39  responded _94_87__ Download PDF.pdf,EN.601.668,Machine Translation,Philipp Koehn,2017,Fall,37,"[(1, 2), (2, 4), (3, 4), (4, 15), (5, 11), (0, 1)]","[(1, 0), (2, 0), (3, 3), (4, 15), (5, 19), (0, 0)]","[(1, 0), (2, 2), (3, 9), (4, 11), (5, 15), (0, 0)]","[(1, 0), (2, 3), (3, 4), (4, 16), (5, 11), (0, 0)]","[(1, 0), (2, 3), (3, 10), (4, 16), (5, 7), (0, 0)]"
EN_601_677_01_FA17 Causal Inference Shpitser_ Ilya 2017 Fall Computer Science 15 of 21  responded _71_43__ Download PDF.pdf,EN.601.677,Causal Inference,Ilya Shpitser,2017,Fall,15,"[(1, 0), (2, 0), (3, 5), (4, 6), (5, 3), (0, 0)]","[(1, 0), (2, 0), (3, 3), (4, 5), (5, 6), (0, 0)]","[(1, 0), (2, 1), (3, 3), (4, 2), (5, 8), (0, 0)]","[(1, 1), (2, 0), (3, 2), (4, 5), (5, 5), (0, 0)]","[(1, 0), (2, 1), (3, 6), (4, 6), (5, 0), (0, 0)]"
EN_601_675_01_FA17 Machine Learning 2017 Fall ASEN 37 of 39  responded _94_87__ Download PDF.pdf,EN.601.675,Machine Learning,,2017,Fall,37,"[(1, 0), (2, 3), (3, 5), (4, 8), (5, 20), (0, 0)]","[(1, 0), (2, 0), (3, 5), (4, 9), (5, 21), (0, 0)]","[(1, 1), (2, 1), (3, 3), (4, 9), (5, 21), (0, 1)]","[(1, 0), (2, 0), (3, 6), (4, 12), (5, 17), (0, 1)]","[(1, 0), (2, 0), (3, 14), (4, 15), (5, 6), (0, 1)]"
EN_601_714_01_FA17 Advanced Computer Networks Jin_ Xin 2017 Fall Computer Science 9 of 10  responded _90_00__ Download PDF.pdf,EN.601.714,Advanced Computer Networks,Xin Jin,2017,Fall,9,"[(1, 0), (2, 0), (3, 1), (4, 3), (5, 5), (0, 0)]","[(1, 0), (2, 0), (3, 1), (4, 4), (5, 4), (0, 0)]","[(1, 0), (2, 0), (3, 3), (4, 2), (5, 3), (0, 1)]","[(1, 0), (2, 2), (3, 1), (4, 3), (5, 3), (0, 0)]","[(1, 0), (2, 1), (3, 8), (4, 0), (5, 0), (0, 0)]"
EN_601_668_01_FA17 Machine Translation 2017 Fall ASEN 38 of 40  responded _95_00__ Download PDF.pdf,EN.601.668,Machine Translation,,2017,Fall,38,"[(1, 2), (2, 4), (3, 4), (4, 15), (5, 11), (0, 1)]","[(1, 0), (2, 0), (3, 3), (4, 15), (5, 19), (0, 0)]","[(1, 0), (2, 2), (3, 9), (4, 11), (5, 15), (0, 0)]","[(1, 0), (2, 3), (3, 4), (4, 16), (5, 11), (0, 0)]","[(1, 0), (2, 3), (3, 10), (4, 16), (5, 7), (0, 0)]"
EN_601_685_01_FA17 Probabilistic Models in the Visual Cortex 2017 Fall ASEN 7 of 8  responded _87_50__ Download PDF.pdf,EN.601.685,Probabilistic Models in the Visual Cortex,,2017,Fall,7,"[(1, 0), (2, 0), (3, 1), (4, 2), (5, 4), (0, 0)]","[(1, 0), (2, 0), (3, 3), (4, 2), (5, 2), (0, 0)]","[(1, 0), (2, 0), (3, 1), (4, 3), (5, 3), (0, 0)]","[(1, 0), (2, 0), (3, 1), (4, 3), (5, 3), (0, 0)]","[(1, 1), (2, 3), (3, 2), (4, 1), (5, 0), (0, 0)]"
EN_601_661_01_FA17 Computer Vision 2017 Fall ASEN 81 of 83  responded _97_59__ Download PDF.pdf,EN.601.661,Computer Vision,,2017,Fall,81,"[(1, 0), (2, 3), (3, 11), (4, 21), (5, 44), (0, 0)]","[(1, 0), (2, 0), (3, 5), (4, 20), (5, 54), (0, 0)]","[(1, 0), (2, 3), (3, 12), (4, 26), (5, 32), (0, 5)]","[(1, 6), (2, 4), (3, 8), (4, 27), (5, 28), (0, 3)]","[(1, 0), (2, 0), (3, 23), (4, 37), (5, 16), (0, 1)]"
EN_601_475_01_FA17 Machine Learning 2017 Fall ASEN 32 of 33  responded _96_97__ Download PDF.pdf,EN.601.475,Machine Learning,,2017,Fall,32,"[(1, 0), (2, 2), (3, 4), (4, 16), (5, 9), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 11), (5, 20), (0, 0)]","[(1, 0), (2, 0), (3, 1), (4, 10), (5, 18), (0, 2)]","[(1, 1), (2, 2), (3, 6), (4, 11), (5, 11), (0, 0)]","[(1, 0), (2, 1), (3, 6), (4, 18), (5, 6), (0, 0)]"
EN_601_475_01_FA17 Machine Learning Dredze_ Mark 2017 Fall Computer Science 32 of 33  responded _96_97__ Download PDF.pdf,EN.601.475,Machine Learning,Mark Dredze,2017,Fall,32,"[(1, 0), (2, 2), (3, 4), (4, 16), (5, 9), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 11), (5, 20), (0, 0)]","[(1, 0), (2, 0), (3, 1), (4, 10), (5, 18), (0, 2)]","[(1, 1), (2, 2), (3, 6), (4, 11), (5, 11), (0, 0)]","[(1, 0), (2, 1), (3, 6), (4, 18), (5, 6), (0, 0)]"
EN_601_465_01_FA17 Natural Language Processing 2017 Fall ASEN 18 of 19  responded _94_74__ Download PDF.pdf,EN.601.465,Natural Language Processing,,2017,Fall,18,"[(1, 0), (2, 0), (3, 0), (4, 3), (5, 15), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 0), (5, 18), (0, 0)]","[(1, 0), (2, 0), (3, 1), (4, 2), (5, 10), (0, 5)]","[(1, 0), (2, 0), (3, 0), (4, 11), (5, 7), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 6), (5, 12), (0, 0)]"
EN_601_461_01_FA17 Computer Vision 2017 Fall ASEN 41 of 41  responded _100_00__ Download PDF.pdf,EN.601.461,Computer Vision,,2017,Fall,41,"[(1, 0), (2, 2), (3, 5), (4, 12), (5, 19), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 7), (5, 30), (0, 0)]","[(1, 1), (2, 3), (3, 5), (4, 12), (5, 11), (0, 6)]","[(1, 4), (2, 9), (3, 6), (4, 14), (5, 5), (0, 0)]","[(1, 0), (2, 1), (3, 13), (4, 6), (5, 18), (0, 0)]"
EN_601_661_01_FA17 Computer Vision Reiter_ Austin 2017 Fall Computer Science 79 of 81  responded _97_53__ Download PDF.pdf,EN.601.661,Computer Vision,Austin Reiter,2017,Fall,79,"[(1, 0), (2, 3), (3, 11), (4, 21), (5, 44), (0, 0)]","[(1, 0), (2, 0), (3, 5), (4, 20), (5, 54), (0, 0)]","[(1, 0), (2, 3), (3, 12), (4, 26), (5, 32), (0, 5)]","[(1, 6), (2, 4), (3, 8), (4, 27), (5, 28), (0, 3)]","[(1, 0), (2, 0), (3, 23), (4, 37), (5, 16), (0, 1)]"
EN_601_461_01_FA17 Computer Vision Reiter_ Austin 2017 Fall Computer Science 40 of 41  responded _97_56__ Download PDF.pdf,EN.601.461,Computer Vision,Austin Reiter,2017,Fall,40,"[(1, 0), (2, 2), (3, 5), (4, 12), (5, 19), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 7), (5, 30), (0, 0)]","[(1, 1), (2, 3), (3, 5), (4, 12), (5, 11), (0, 6)]","[(1, 4), (2, 9), (3, 6), (4, 14), (5, 5), (0, 0)]","[(1, 0), (2, 1), (3, 13), (4, 6), (5, 18), (0, 0)]"
EN_601_465_01_FA17 Natural Language Processing Eisner_ Jason 2017 Fall Computer Science 18 of 19  responded _94_74__ Download PDF.pdf,EN.601.465,Natural Language Processing,Jason Eisner,2017,Fall,18,"[(1, 0), (2, 0), (3, 0), (4, 3), (5, 15), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 0), (5, 18), (0, 0)]","[(1, 0), (2, 0), (3, 1), (4, 2), (5, 10), (0, 5)]","[(1, 0), (2, 0), (3, 0), (4, 11), (5, 7), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 6), (5, 12), (0, 0)]"
EN_601_685_01_FA17 Probabilistic Models in the Visual Cortex Yuille_ Alan 2017 Fall Computer Science 7 of 8  responded _87_50__ Download PDF.pdf,EN.601.685,Probabilistic Models in the Visual Cortex,Alan Yuille,2017,Fall,7,"[(1, 0), (2, 0), (3, 1), (4, 2), (5, 4), (0, 0)]","[(1, 0), (2, 0), (3, 3), (4, 2), (5, 2), (0, 0)]","[(1, 0), (2, 0), (3, 1), (4, 3), (5, 3), (0, 0)]","[(1, 0), (2, 0), (3, 1), (4, 3), (5, 3), (0, 0)]","[(1, 1), (2, 3), (3, 2), (4, 1), (5, 0), (0, 0)]"
EN_601_485_01_FA17 Probabilistic Models of the Visual Cortex Yuille_ Alan 2017 Fall Computer Science 12 of 13  responded _92_31__ Download PDF.pdf,EN.601.485,Probabilistic Models of the Visual Cortex,Alan Yuille,2017,Fall,12,"[(1, 1), (2, 2), (3, 1), (4, 4), (5, 4), (0, 0)]","[(1, 0), (2, 2), (3, 0), (4, 3), (5, 7), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 4), (5, 7), (0, 1)]","[(1, 1), (2, 0), (3, 1), (4, 6), (5, 3), (0, 0)]","[(1, 1), (2, 6), (3, 3), (4, 1), (5, 0), (0, 0)]"
EN_601_621_01_FA17 Object Oriented Software Engineering Smith_ Scott 2017 Fall Computer Science 26 of 27  responded _96_30__ Download PDF.pdf,EN.601.621,Object Oriented Software Engineering,Scott Smith,2017,Fall,26,"[(1, 0), (2, 3), (3, 6), (4, 3), (5, 13), (0, 0)]","[(1, 0), (2, 0), (3, 6), (4, 8), (5, 11), (0, 0)]","[(1, 0), (2, 1), (3, 4), (4, 3), (5, 16), (0, 1)]","[(1, 0), (2, 1), (3, 2), (4, 10), (5, 12), (0, 0)]","[(1, 0), (2, 0), (3, 6), (4, 11), (5, 8), (0, 0)]"
EN_601_634_01_FA17 Randomized and Big Data Algorithms Braverman_ Vladimir 2017 Fall Computer Science 17 of 18  responded _94_44__ Download PDF.pdf,EN.601.634,Randomized and Big Data Algorithms,Vladimir Braverman,2017,Fall,17,"[(1, 0), (2, 2), (3, 5), (4, 3), (5, 6), (0, 0)]","[(1, 0), (2, 1), (3, 2), (4, 6), (5, 8), (0, 0)]","[(1, 1), (2, 0), (3, 3), (4, 4), (5, 8), (0, 1)]","[(1, 1), (2, 4), (3, 3), (4, 4), (5, 5), (0, 0)]","[(1, 2), (2, 1), (3, 12), (4, 2), (5, 0), (0, 0)]"
EN_601_455_01_FA17 Computer Integrated Surgery I 2017 Fall ASEN 35 of 36  responded _97_22__ Download PDF.pdf,EN.601.455,Computer Integrated Surgery I,,2017,Fall,35,"[(1, 6), (2, 10), (3, 11), (4, 2), (5, 3), (0, 0)]","[(1, 1), (2, 1), (3, 6), (4, 12), (5, 13), (0, 0)]","[(1, 0), (2, 1), (3, 8), (4, 8), (5, 15), (0, 1)]","[(1, 8), (2, 4), (3, 6), (4, 8), (5, 7), (0, 0)]","[(1, 0), (2, 0), (3, 2), (4, 13), (5, 18), (0, 0)]"
EN_601_621_01_FA17 Object Oriented Software Engineering 2017 Fall ASEN 26 of 27  responded _96_30__ Download PDF.pdf,EN.601.621,Object Oriented Software Engineering,,2017,Fall,26,"[(1, 0), (2, 3), (3, 6), (4, 3), (5, 13), (0, 0)]","[(1, 0), (2, 0), (3, 6), (4, 8), (5, 11), (0, 0)]","[(1, 0), (2, 1), (3, 4), (4, 3), (5, 16), (0, 1)]","[(1, 0), (2, 1), (3, 2), (4, 10), (5, 12), (0, 0)]","[(1, 0), (2, 0), (3, 6), (4, 11), (5, 8), (0, 0)]"
EN_601_655_01_FA17 Computer Integrated Surgery I 2017 Fall ASEN 19 of 21  responded _90_48__ Download PDF.pdf,EN.601.655,Computer Integrated Surgery I,,2017,Fall,19,"[(1, 0), (2, 5), (3, 5), (4, 5), (5, 3), (0, 0)]","[(1, 0), (2, 1), (3, 3), (4, 3), (5, 11), (0, 0)]","[(1, 1), (2, 0), (3, 3), (4, 9), (5, 5), (0, 0)]","[(1, 2), (2, 1), (3, 3), (4, 7), (5, 5), (0, 0)]","[(1, 0), (2, 0), (3, 5), (4, 6), (5, 7), (0, 0)]"
EN_601_634_01_FA17 Randomized and Big Data Algorithms 2017 Fall ASEN 17 of 18  responded _94_44__ Download PDF.pdf,EN.601.634,Randomized and Big Data Algorithms,,2017,Fall,17,"[(1, 0), (2, 2), (3, 5), (4, 3), (5, 6), (0, 0)]","[(1, 0), (2, 1), (3, 2), (4, 6), (5, 8), (0, 0)]","[(1, 1), (2, 0), (3, 3), (4, 4), (5, 8), (0, 1)]","[(1, 1), (2, 4), (3, 3), (4, 4), (5, 5), (0, 0)]","[(1, 2), (2, 1), (3, 12), (4, 2), (5, 0), (0, 0)]"
EN_601_655_01_FA17 Computer Integrated Surgery I Taylor_ Russell 2017 Fall Computer Science 18 of 20  responded _90_00__ Download PDF.pdf,EN.601.655,Computer Integrated Surgery I,Russell Taylor,2017,Fall,18,"[(1, 0), (2, 5), (3, 5), (4, 5), (5, 3), (0, 0)]","[(1, 0), (2, 1), (3, 3), (4, 3), (5, 11), (0, 0)]","[(1, 1), (2, 0), (3, 3), (4, 9), (5, 5), (0, 0)]","[(1, 2), (2, 1), (3, 3), (4, 7), (5, 5), (0, 0)]","[(1, 0), (2, 0), (3, 5), (4, 6), (5, 7), (0, 0)]"
EN_601_455_01_FA17 Computer Integrated Surgery I Taylor_ Russell 2017 Fall Computer Science 35 of 36  responded _97_22__ Download PDF.pdf,EN.601.455,Computer Integrated Surgery I,Russell Taylor,2017,Fall,35,"[(1, 6), (2, 10), (3, 11), (4, 2), (5, 3), (0, 0)]","[(1, 1), (2, 1), (3, 6), (4, 12), (5, 13), (0, 0)]","[(1, 0), (2, 1), (3, 8), (4, 8), (5, 15), (0, 1)]","[(1, 8), (2, 4), (3, 6), (4, 8), (5, 7), (0, 0)]","[(1, 0), (2, 0), (3, 2), (4, 13), (5, 18), (0, 0)]"
EN_601_447_01_FA17 Computational Genomics_ Sequences Langmead_ Benjamin 2017 Fall Computer Science 25 of 27  responded _92_59__ Download PDF.pdf,EN.601.447,Computational Genomics: Sequences,Benjamin Langmead,2017,Fall,25,"[(1, 0), (2, 0), (3, 0), (4, 3), (5, 21), (0, 0)]","[(1, 0), (2, 1), (3, 2), (4, 9), (5, 11), (0, 0)]","[(1, 0), (2, 0), (3, 4), (4, 10), (5, 8), (0, 2)]","[(1, 0), (2, 1), (3, 3), (4, 13), (5, 7), (0, 0)]","[(1, 1), (2, 3), (3, 16), (4, 4), (5, 0), (0, 0)]"
EN_601_643_01_FA17 Security _ Privacy in Computing 2017 Fall ASEN 37 of 39  responded _94_87__ Download PDF.pdf,EN.601.643,Security & Privacy in Computing,,2017,Fall,37,"[(1, 2), (2, 9), (3, 6), (4, 11), (5, 8), (0, 0)]","[(1, 1), (2, 0), (3, 6), (4, 16), (5, 12), (0, 0)]","[(1, 0), (2, 1), (3, 3), (4, 11), (5, 18), (0, 2)]","[(1, 1), (2, 2), (3, 5), (4, 15), (5, 11), (0, 2)]","[(1, 0), (2, 1), (3, 23), (4, 10), (5, 2), (0, 0)]"
